DESCRIPTION,PROPERTY NAME,ESA,STREET START NR,STREET END NR,LOT PREFIX,LOT NUMBER,STREET_NAME,STREET TYPE,LOCALITY_NAME,STATE CODE,POST CODE,LONG  DEG,LONG  MIN,LONG SEC,EW HEM,LAT DEG,LAT MIN,LAT SEC,NS HEMI,AMG ZONE,EASTING,NORTHING,PMS CODE
BEHIND THE POLICE STATION IN,ARDLETHAN EXCHANGE,ARDL,,,,,WARRI,ST,ARDLETHAN,NSW,2665,146,54,14,E,34,21,24,S,55,491174,6198296,2529
APPROX 15K NW OF NAMBUCCA HEADS ON,ARGENTS HILL EXCHANGE,ARHL,,,,,NORTH ARM,RD,ARGENTS HILL,NSW,2449,152,44,49,E,30,37,17,S,56,475747,6612341,4180
CORNER BULL ROAD &,ARGOON EXCHANGE,ARGN,,,,,FOUR CORNERS,RD,COLEAMBALLY,NSW,2707,145,45,26,E,34,51,28,S,55,386384,6142026,4185
14K EAST OF ARMIDALE VIA HILLGROVE AT,ARGYLE EXCHANGE,AGLE,,,,,GRAFTON,RD,ARGYLE,NSW,2350,151,47,45,E,30,32,44,S,56,384498,6620155,4150
ARMIDALE DUMARESQ ST CMTS,ARMIDALE EXCHANGE,ADLE,,,,,DUMARESQ,ST,ARMIDALE,NSW,2350,151,40,1,E,30,30,45,S,56,372091,6623679,
CNR DUMARESQ ST,ARMIDALE EXCHANGE,ADLE,,,,,FAULKNER,ST,ARMIDALE,NSW,2350,151,40,1,E,30,30,44,S,56,372090,6623685,3174
CNR VANGELI ST,ARNDELL PARK  EXCHANGE,BLAC,2,,,,KENOMA,PL,ARNDELL PARK,NSW,2148,150,53,4,E,33,47,23,S,56,304140,6259156,3176
CNR THE ESPLANADE,ASHFIELD EXCHANGE,ASHF,,,LOT,1,FOXS,LANE,ASHFIELD,NSW,2131,151,7,30,E,33,53,17,S,56,326601,6248683,3180
,ASHFORD EXCHANGE,ASHD,,,,,MARTYN,ST,ASHFORD,NSW,2361,151,5,45,E,29,19,15,S,56,315092,6754974,860
APPROX 17K N MOREEIN    175063,ASHLEY EXCHANGE,ASLY,,,,,BINGARA,ST,ASHLEY,NSW,2400,149,47,58,E,29,18,25,S,55,771917,6754764,4156
,ATHOLWOOD EXCHANGE,ALOD,,,,,BONSHAW,RD,ATHOLWOOD,NSW,2361,151,3,35,E,28,59,55,S,56,310995,6790628,350
CNR ATTUNGA ST,ATTUNGA EXCHANGE,ATUN,,,,,KIMO,ST,ATTUNGA,NSW,2345,150,50,31,E,30,55,45,S,56,293806,6576262,4157
11K SW OF INVERELL ON,AUBURN VALE EXCHANGE,AUBV,,,,,AUBURN VALE,RD,AUBURN VALE,NSW,2360,151,2,20,E,29,50,26,S,56,310536,6697279,4158
CNR TWELFTH AVE &,AUSTRAL EXCHANGE,AUST,,,,,FOURTH,AVE,AUSTRAL,NSW,2171,150,48,24,E,33,55,37,S,56,297265,6243780,3182
,AUSTRALIAN STOCK EXCHANGE,DALL,16,34,,,BRIDGE,ST,SYDNEY,NSW,2000,151,12,31,E,33,51,48,S,56,334306,6251546,92330
CNR SANDERS LANE,AVALON EXCHANGE,AVAL,15,,,,OLD BARRENJOEY,RD,AVALON,NSW,2107,151,19,41,E,33,38,19,S,56,344944,6276669,3183
,AVOCA BEACH EXCHANGE,ABCH,105,,,,CAPE THREE POINTS,RD,AVOCA BEACH,NSW,2251,151,25,52,E,33,28,53,S,56,354238,6294253,3184
,BAAN BAA SCAX,BAAN,,,,,BUNDAH,ST,BAAN BAA,NSW,2390,149,54,50,E,30,31,9,S,55,779628,6620082,6067
21 K WEST OF DENMAN ON,BAERAMI SCAX,BRMI,,,,,BAERAMI CREEK,RD,BAERAMI,NSW,2333,150,28,5,E,32,23,15,S,56,261825,6413783,4168
,BAGO LOWER TE,TRBA,,,,,TARADALE,RD,BAGO LOWER,NSW,2653,147,57,5,E,35,36,56,S,55,586150,6058279,1518
APPROXIMATELY 50K SOUTHWEST OF ARMIDALE CORNER RETREAT ROAD &,BALALA SCAX,BLAA,,,,,KINGSTOWN  URALLA,RD,BALALA,NSW,2358,151,9,36,E,30,36,13,S,56,323607,6612895,4184
23K EAST OF WARIALDA ON,BALFOURS PEAK SCAX & REPEATERS,BSPK,,,,,GRAGIN,RD,BALFOURS PEAK,NSW,2402,150,45,16,E,29,29,35,S,56,282301,6735296,7147
