DESCRIPTION,PROPERTY NAME,ESA,STREET START NR,STREET END NR,LOT PREFIX,LOT NUMBER,STREET_NAME,STREET TYPE,LOCALITY_NAME,STATE CODE,POST CODE,LONG  DEG,LONG  MIN,LONG SEC,EW HEM,LAT DEG,LAT MIN,LAT SEC,NS HEMI,AMG ZONE,EASTING,NORTHING,PMS CODE
CNR PIRIE STREET,LIVERPOOL EXCHANGE,LIVE,40,52,,,TERMINUS,ST,LIVERPOOL,NSW,2170,150,55,26,E,33,55,34,S,56,308094,6244089,2745
NR CRANEBROOK RD APP 150M S SHELL SERVICE STATION,LLANDILO RSS,LLDO,789,,LOT,31,THE NORTHERN,RD,LLANDILO,NSW,2747,150,43,37,E,33,41,33,S,56,289318,6269628,2341
APPROXIMATELY 34K NORTHWEST OF NEWCASTLE ON,LOCHINVAR SCAX,LVAR,,,,,GREGORY,RD,LOCHINVAR,NSW,2321,151,27,54,E,32,44,10,S,56,356177,6376935,4573
,LOCKHART TE,LCKT,,,,,MATTHEWS,ST,LOCKHART,NSW,2656,146,43,2,E,35,13,15,S,55,474254,6102433,2721
,LOGIE BRAE EXCHANGE,LGBR,,,,,DENILIQUIN-COREE,RD,LOGIE BRAE,NSW,2713,145,30,5,E,35,27,54,S,55,364012,6074358,2342
,LONG JETTY EXCHANGE,LJTY,314,316,,,THE ENTRANCE,RD,LONG JETTY,NSW,2261,151,29,6,E,33,21,31,S,56,359051,6307936,2723
,LONG POINT SCAX,LNPT,,,,,LONG POINT-MULLION,RD,LONG POINT,NSW,2800,149,12,32,E,33,3,18,S,55,706247,6340454,4559
LORD HOWE ISLAND REPEATER,LORD HOWE ISLAND EARTH STN RSS,LORI,,,,,SKYLINE,DR,LORD HOWE ISLAND,NSW,2898,159,4,9,E,31,31,21,S,57,506577,6512502,3799
,LORNE EXCHANGE,LRNE,,,,,STEWARTS RIVER,RD,LORNE,NSW,2439,152,36,40,E,31,39,30,S,56,463133,6497380,8850
26KM FROM CROOKWELL,LOST RIVER SCAX,LOST,,,LOT,1,BOOROWA,RD,LOST RIVER,NSW,2583,149,16,12,E,34,27,18,S,55,708535,6185061,10752
,LOWESDALE SCAX,LOWE,,,,,URANA-COROWA,RD,LOWESDALE,NSW,2646,146,21,51,E,35,50,28,S,55,442568,6033490,2350
,LUDDENHAM SCAX,LUDM,,,LOT,1,THE NORTHERN,RD,LUDDENHAM,NSW,2745,150,41,24,E,33,52,34,S,56,286350,6249188,2351
BETWEEN COWRA & BATHURST IN,LYNDHURST SCAX 1,LYND,,,,,RUSSART,ST,LYNDHURST,NSW,2797,149,2,49,E,33,40,24,S,55,689777,6272190,10279
CNR JERRYS LANE /BTWN COLEAMBALLY & CONARGO,MABINS WELL SCAX,MBWL,,,,,MCLENNONS BORE,RD,MABINS WELL,NSW,2716,145,35,41,E,35,1,48,S,55,371798,6122729,3944
,MACKSVILLE EXCHANGE,MACS,,,LOT,1,WALLACE,ST,MACKSVILLE,NSW,2447,152,54,50,E,30,43,32,S,56,491756,6600822,2748
,MACLEAN EXCHANGE,MCLN,253,,,,RIVER,ST,MACLEAN,NSW,2463,153,11,49,E,29,27,30,S,56,519095,6741230,2750
,MAGOMETON SCAX,MATN,,,,,TOORAWEENAH-COONAMBLE,RD,MAGOMETON,NSW,2829,148,38,13,E,31,3,34,S,55,656193,6562667,3945
,MAIMURU SCAX,MAIM,,,,,THUDDUNGRA-YOUNG,RD,MAIMURU,NSW,2594,148,12,36,E,34,14,7,S,55,611446,6211100,4487
,MAIN ARM SCAX,MAIA,,,,,MAIN ARM,RD,MAIN ARM,NSW,2482,153,25,55,E,28,30,14,S,56,542268,6846915,2354
VIA JERILDERIE,MAIRJIMMY SCAX,MRJY,,,,,JERILDERIE-BERRIGAN,RD,MAIRJIMMY,NSW,2716,145,44,7,E,35,28,14,S,55,385243,6074039,2355
,MALLAN EXCHANGE,MLLN,,,LOT,1,TOORANIE,RD,MALLAN,NSW,3586,143,43,34,E,35,4,58,S,54,748537,6114378,7194
,MALLANGANEE SCAX OFRS,MLGE,,,,,SANDILAND,ST,MALLANGANEE,NSW,2469,152,39,22,E,28,52,14,S,56,466462,6806320,2360
,MALUA BAY EXCHANGE,MABY,25,,,,EUROKA,AVE,MALUA BAY,NSW,2536,150,12,36,E,35,45,33,S,56,247758,6039180,2369
18KM FROM BRAIDWOOD,MANAR EXCHANGE,MANR,,,,,BUNGENDORE-BRAIDWOOD,RD,MANAR,NSW,2622,149,35,10,E,35,17,11,S,55,735199,6092135,3946
,MANGOPLAH SCAX,MANG,,,,,KANE-JERRA,ST,MANGOPLAH,NSW,2652,147,12,1,E,35,19,46,S,55,518190,6090407,4489
,MANGROVE MOUNTAIN SCAX,MVMT,,,,,WISEMANS FERRY,RD,MANGROVE MOUNTAIN,NSW,2250,151,10,34,E,33,18,56,S,56,330221,6312255,3948
REAR OF POST OFFICE IN,MANILDRA SCAX,MNDR,78,,,,LOFTUS,ST,MANILDRA,NSW,2865,148,28,12,E,33,11,20,S,55,637044,6326817,4491
APP 40K NW TAMWORTH,MANILLA EXCHANGE,MANI,190,,LOT,2,MANILLA,ST,MANILLA,NSW,2346,150,43,8,E,30,44,51,S,56,281634,6596168,2376
,MANLY EXCHANGE,MANL,22,,,,BELGRAVE,ST,MANLY,NSW,2095,151,16,49,E,33,48,0,S,56,340804,6258690,2776
,MANNERING PARK EXCHANGE,MGPK,132,,,,VALES,RD,MANNERING PARK,NSW,2259,151,32,13,E,33,9,10,S,56,363561,6330833,2380
,MANNUS SCAX,MANS,,,,,MUNDEROO-TUMBARUMBA,RD,MANNUS,NSW,2653,147,54,55,E,35,49,30,S,55,582662,6035079,2384
,MANOBALAI SCAX,MANB,,,,,CASTLEROCK - BUNNAN,RD,MANOBALAI,NSW,2333,150,40,23,E,32,13,0,S,56,280703,6433183,3949
NR DUNNS RD BEHIND TENNIS COU RTS,MARAYLYA EXCHANGE,MRYA,,,,,BOUNDARY,RD,MARAYLYA,NSW,2765,150,54,4,E,33,36,58,S,56,305292,6278442,2381
NTH OF ORANGE,MARCH EXCHANGE,MARH,,,,,ORANGE EUCHAREENA,RD,MARCH,NSW,2800,149,9,4,E,33,12,1,S,55,700521,6324456,3950
,MARKWELL SCAX,MKWL,,,,,BULAHDELAH,RD,MARKWELL,NSW,2423,152,10,16,E,32,17,22,S,56,421955,6427190,3952
9 K FROM WISEMANS FERRY ON,MAROOTA SCAX,MRTA,,,PT LOT,2,OLD NORTHERN,RD,MAROOTA,NSW,2756,150,59,38,E,33,26,13,S,56,313516,6298481,3954
NEAR WISEMANS FERRY RD,MAROOTA SOUTH EXCHANGE,MRTS,182,,,,SACKVILLE,RD,SOUTH MAROOTA,NSW,2756,150,56,50,E,33,29,15,S,56,309288,6292790,2387
CNR LOCH MAREE ST,MAROUBRA EXCHANGE,MARO,140,,,,STOREY,ST,MAROUBRA,NSW,2035,151,14,25,E,33,56,13,S,56,337368,6243450,2758
,MARSDEN SCAX,MSDN,,,,,MID WESTERN,HWY,MARSDEN,NSW,2765,147,31,30,E,33,45,36,S,55,548629,6264336,4851
,MARTINDALE SCAX,MART,,,,,MARTINDALE-GLEN GALIC,RD,MARTINDALE,NSW,2328,150,40,59,E,32,29,37,S,56,282311,6402493,3983
,MARULAN EXCHANGE,MRLN,,,LOT,1,HUME,HWY,MARULAN,NSW,2579,150,0,24,E,34,42,35,S,56,225855,6155074,11878
,MARYS MOUNT SCAX,MYMT,,,,,OXLEY,HWY,MARYS MOUNT,NSW,2380,150,4,8,E,31,1,6,S,56,220177,6564685,2389
,MASCOT EXCHANGE,MASC,904,922,,,BOTANY,RD,MASCOT,NSW,2020,151,11,37,E,33,56,4,S,56,333054,6243640,2779
,MATE SCAX,MATE,,,,,WESTBROOK,RD,MATE,NSW,2652,147,51,12,E,35,27,14,S,55,577424,6076290,10309
,MATHOURA EXCHANGE,MATH,,,,,MORRIS,ST,MATHOURA,NSW,2710,144,53,25,E,35,49,5,S,55,309396,6034178,2390
,MATONG SCAX,MATG,,,,,MAIN,ST,MATONG,NSW,2652,146,55,13,E,34,46,7,S,55,492692,6152617,4500
CNR RABUL PDE &,MATRAVILLE EXCHANGE,MATR,1,,,,ROMANI,PDE,MATRAVILLE,NSW,2036,151,14,31,E,33,57,23,S,56,337559,6241296,2784
,MAUDE SCAX/RT,MUDE,,,,,GELAM,ST,MAUDE,NSW,2711,144,17,57,E,34,28,7,S,55,251917,6182574,10794
,MAULES CREEK SCAX,MLCK,,,,,BLACK MOUNTAIN CREEK,RD,MAULES CREEK,NSW,2382,150,6,40,E,30,29,30,S,56,222702,6623192,2395
,MAXWELL SCAX,MAXW,,,,,WAGGA WAGGA-ALBURY,RD,MAXWELL,NSW,2652,147,18,1,E,35,18,3,S,55,527288,6093557,2397
,MAYFIELD EXCHANGE,MAYF,314,,,,MAITLAND,RD,MAYFIELD,NSW,2304,151,44,3,E,32,53,47,S,56,381605,6359489,2770
,MAYRUNG SCAX,MAYG,,,,,DENILIQUIN-MAYRUNG,RD,MAYRUNG,NSW,2710,145,17,25,E,35,27,57,S,55,344857,6073954,2398
BESIDE FIRE STATION,MCCULLYS GAP SCAX,MCGP,,,,,MUSWELLBROOK-DUNBARS CREE,RD,MCCULLYS GAP,NSW,2333,150,59,6,E,32,12,27,S,56,310088,6434793,4004
,MCMAHONS REEF SCAX,MNRF,,,,,JUGIONG-CUNNINGAR,RD,MCMAHONS REEF,NSW,2585,148,27,3,E,34,39,36,S,55,632953,6163708,2400
,MEADOW FLAT SCAX / RTRS,MWFT,,,,,GREAT WESTERN,HWY,MEADOW FLAT,NSW,2795,149,54,36,E,33,26,20,S,55,770541,6296276,2388
CORNER ST ALBANS ROAD &,MEDLOW BATH RSS,MDWB,20,22,,,RAILWAY,PDE,MEDLOW BATH,NSW,2780,150,17,4,E,33,40,32,S,56,248244,6270516,2392
CNR MEDOWIE RD,MEDOWIE EXCHANGE,MDWI,47,,,,FERODALE,RD,MEDOWIE,NSW,2318,151,52,30,E,32,44,15,S,56,394596,6377264,2396
,MEDOWIE TE,MDWI,,,,,FERODALE,RD,MEDOWIE,NSW,2318,,,,,,,,,,,,
,MEGAN SCAX,MEGN,,,,,CORAMBA,RD,MEGAN,NSW,2453,152,46,29,E,30,17,4,S,56,478334,6649686,4502
,MELBERGEN SCAX,MLGN,,,,,HILLSTON-RANKINS SPRINGS,RD,RANKINS SPRINGS,NSW,2669,146,15,21,E,33,50,32,S,55,431162,6255093,4856
,MELLOOL SCAX,MEOL,,,,,SWAN HILL-WAKOOL,RD,MELLOOL,NSW,2734,143,54,45,E,35,21,4,S,54,764661,6084125,6311
18K SE OF MOREE,MENADOOL SCAX,MDOL,,,,,MOREE-TERRY HIE HIE,RD,MOREE,NSW,2400,150,0,50,E,29,38,45,S,56,210913,6716740,4006
CNR MENAI RD,MENAI EXCHANGE,MENA,,,,,OLD ILLAWARRA,RD,MENAI,NSW,2234,151,0,43,E,34,0,54,S,56,316424,6234410,2791
CNR CUMMINS RD &,MENANGLE SCAX,MGLE,,,,,MENANGLE,RD,MENANGLE,NSW,2568,150,45,43,E,34,6,26,S,56,293566,6223702,2399
,MENDOORAN EXCHANGE,MEND,55,,LOT,1,BANDULLA,ST,MENDOORAN,NSW,2842,149,7,16,E,31,49,30,S,55,700758,6477009,2401
MENINDEE RT/MAC,MENINDEE EXCHANGE,MENE,,,,,YARTLA,ST,MENINDEE,NSW,2879,142,25,20,E,32,23,20,S,54,633763,6415569,4858
,MERAH NORTH SCAX,MNTH,,,,,WEE WAA-BURREN,RD,MERAH NORTH,NSW,2388,149,17,53,E,30,11,4,S,55,721266,6658554,4504
,MEREWETHER EXCHANGE,MERE,125,,,,RIDGE,ST,MEREWETHER,NSW,2291,151,45,50,E,32,56,24,S,56,384448,6354697,2795
,MERIMBULA EXCHANGE,MERI,52,,,,MAIN,ST,MERIMBULA,NSW,2548,149,54,39,E,36,53,10,S,55,759424,5913810,2802
15K NORTH OF NOWRA ON,MEROO MEADOW EXCHANGE,MERM,,,,,PRINCES,HWY,MEROO MEADOW,NSW,2540,150,37,44,E,34,48,42,S,56,283122,6145287,3807
,MERRAN SCAX,MERR,,,,,SWAN HILL-BARHAM,RD,MERRAN,NSW,2739,144,6,2,E,35,32,6,S,55,237108,6063757,6233
,MERRIGANOWRY SCAX,MRGY,,,,,COWRA-FORBES,RD,MERRIGANOWRY,NSW,2871,148,33,0,E,33,42,35,S,55,643641,6268957,2403
,MERRIWA  EXCHANGE,MRWA,80,82,,,BETTINGTON,ST,MERRIWA,NSW,2329,150,21,25,E,32,8,21,S,56,250692,6441087,2406
21K NR OF GOOLGOWI CNR FLEURY ST &,MERRIWAGGA EXCHANGE,MWGA,,,,,DEVON,ST,MERRIWAGGA,NSW,2652,145,37,27,E,33,49,12,S,55,372660,6256954,12649
,METHUL SCAX,MTHL,,,,,METHUL,RD,METHUL,NSW,2701,147,5,20,E,34,38,51,S,55,508158,6166047,3953
,MICHELAGO SCAX,MCGO,,,,,MICHAELAGO PUBLIC SCHOOL,RD,MICHELAGO,NSW,2620,149,9,50,E,35,39,2,S,55,695910,6052658,3808
,MILA SCAX,MILA,,,,,WELLESLEY-BOMBALA,RD,MILA,NSW,2632,149,10,13,E,37,3,15,S,55,692967,5896920,2411
,MILBRULONG EXCHANGE,MBLG,,,,,CAPE,ST,MILBRULONG,NSW,2656,146,50,39,E,35,15,10,S,55,485812,6098916,2413
,MILLER EXCHANGE,MILL,87,,,,CARTWRIGHT,AVE,MILLER,NSW,2168,150,53,2,E,33,55,6,S,56,304368,6244892,2208
40K NW OF SCONE VIA BLACKVILLE  ON,MILLERS CREEK SCAX,MLRK,,,,,MT PARRY-BLACKVILLE,RD,MILLERS CREEK,NSW,2343,150,24,44,E,31,43,27,S,56,254807,6487234,10295
,MILLIE SCAX,MLLE,,,,,BELLATA-GURLEY,RD,MILLIE,NSW,2397,149,33,54,E,29,48,47,S,55,747898,6699179,3955
,MILLTHORPE SCAX,MILP,34,,,,PILCHER,ST,MILLTHORPE,NSW,2798,149,10,52,E,33,26,45,S,55,702748,6297166,2402
,MILVALE SCAX,MLVL,,,,,TEMORA-YOUNG,RD,MILVALE,NSW,2594,147,57,29,E,34,20,1,S,55,588140,6200443,3956
,MIMOSA SCAX,MISA,,,,,HAY,ST,MIMOSA,NSW,2666,147,21,10,E,34,34,54,S,55,532366,6173295,2405
,MINNAMURRA EXCHANGE,MINA,59,,,,OXLEY,AVE,MINNAMURRA,NSW,2533,150,49,59,E,34,37,5,S,56,301337,6167185,2407
,MINORE SCAX,MNOR,,,,,NARROMINE,ST,MINORE,NSW,2830,148,27,3,E,32,15,23,S,55,636671,6430228,3957
,MINTO EXCHANGE,MINT,3,5,LOT,1,KENT,ST,MINTO,NSW,2566,150,50,46,E,34,1,42,S,56,301144,6232625,2794
,MIRANDA EXCHANGE,MIRA,574,576,,,KINGSWAY,,MIRANDA,NSW,2228,151,6,6,E,34,2,5,S,56,324746,6232375,2803
42K NW MAITLAND ON,MIRANNIE EXCHANGE,MIRE,,,,,MIRANNIE,RD,MIRANNIE,NSW,2330,151,22,8,E,32,25,32,S,56,346642,6411232,4512
,MITCHELLS ISLAND SCAX,MITI,,,,,MANNING POINT,RD,MITCHELLS ISLAND,NSW,2430,152,37,26,E,31,53,36,S,56,464434,6471337,3958
,MITTAGONG EXCHANGE,MITG,,,,,FITZROY,ST,MITTAGONG,NSW,2575,150,28,33,E,34,25,22,S,56,268038,6188084,2811
CNR MENINYA ST,MOAMA RSS,ECHU,6,,,,REGENT,ST,MOAMA,NSW,2731,144,46,4,E,36,6,54,S,55,299083,6000989,10236
,MODANVILLE EXCHANGE,MODE,,,,,DUNOON,RD,MODANVILLE,NSW,2480,153,18,16,E,28,44,52,S,56,529722,6819933,2408
,MOGIL MOGIL SCAX,CBRI,,,,,BARWON RIVER,RD,COLLARENEBRI,NSW,2833,148,41,16,E,29,21,14,S,55,663844,6751632,95346
,MOGRIGUY SCAX,MGRY,,,,,MOGRIGUY,RD,MOGRIGUY,NSW,2830,148,39,32,E,32,4,2,S,55,656594,6450917,3960
,MOIRA EXCHANGE,MOIR,,,,,ECHUCA MATHOURA,RD,MOIRA,NSW,2710,144,50,18,E,35,56,8,S,55,304992,6021040,9025
MOUNT VIEW,MOLE RIVER EXCHANGE,MOLR,,,,,BRUXNER,HWY,MOLE RIVER VIA TENTERFIELD,NSW,2372,151,45,43,E,29,2,23,S,56,379454,6786993,4524
,MOLONG EXCHANGE,MOLG,54,,,,BANK,ST,MOLONG,NSW,2866,148,52,8,E,33,5,36,S,55,674422,6336820,2818
CNR BARRENJOEY RD &,MONA VALE EXCHANGE,MONA,1763,,,,PITTWATER,RD,MONA VALE,NSW,2103,151,18,6,E,33,40,41,S,56,342557,6272236,2820
,MONAK EXCHANGE,MNAK,,,PT PORT,4,STURT,HWY,MONAK,NSW,2738,142,16,32,E,34,17,18,S,54,617393,6205137,7768
,MONARO VALE SCAX,MOVE,,,,,,,MONARO VALE,NSW,2712,145,47,46,E,35,44,34,S,55,391132,6043914,2412
,MONGARLOWE SCAX,MOLO,,,,,MONGARLOWE,RD,MONGARLOWE,NSW,2622,149,58,33,E,35,24,23,S,55,770251,6077827,3961
,MONTEAGLE SCAX,MTLE,,,,,VICTORIA,ST,MONTEAGLE,NSW,2594,148,26,2,E,34,15,30,S,55,632030,6208276,2414
,MOOBALL/BURRINGBAR COAX/SCAX,MOBL,7,,,,PACIFIC,HWY,BURRINGBAR,NSW,2483,153,33,7,E,28,27,51,S,56,554031,6851267,3320
,MOONA PLAINS SCAX,MNAP,,,,,MOONA PLAINS,RD,MOONA PLAINS,NSW,2354,151,50,6,E,31,1,2,S,56,388800,6567918,4525
APPROXIMATELY 20K WEST OF KEMPSEY NEAR TURNERS FLAT ROAD IN,MOONEBA SCAX,MNBA,,,,,ARMIDALE,RD,MOONEBA,NSW,2440,152,43,8,E,31,0,29,S,56,473166,6569483,4515
,MOONEY MOONEY SCAX,MOON,,,,,OLD PACIFIC,HWY,MOONEY MOONEY,NSW,2083,151,11,56,E,33,31,42,S,56,332746,6288674,2415
9KM N TAMWORTH,MOOR CREEK EXCHANGE,MRCK,,,,,MOOR CREEK TAMWORTH,RD,MOOR CREEK,NSW,2340,150,57,54,E,31,0,44,S,56,305734,6567276,3963
,MOORLAND SCAX,MRLD,,,,,PACIFIC,HWY,MOORLAND,NSW,2443,152,41,6,E,31,45,41,S,56,470171,6485981,2417
,MORAGO SCAX,MRGO,,,,,MOULAMEIN,RD,MORAGO,NSW,2710,144,54,15,E,35,24,46,S,55,309693,6079163,2418
,MORANS CROSSING SCAX,MCRG,,,,,SNOWY MOUNTAINS,HWY,MORANS CROSSING,NSW,2550,149,44,2,E,36,40,0,S,55,744347,5938627,3964
,MOREE EXCHANGE,MREE,,,,,BANK,ST,MOREE,NSW,2400,149,50,38,E,29,27,49,S,55,775819,6737281,2807
CORNER MORISSET PARK ROAD &,MORISSET EAST EXCHANGE,MRSE,,,,,FISHERY POINT,RD,BONNELLS BAY,NSW,2264,151,30,50,E,33,6,50,S,56,361343,6335103,2810
,MORUNDAH SCAX,MORH,,,,,NARRANDERA-URANA,RD,MORUNDAH,NSW,2700,146,18,15,E,34,55,59,S,55,436440,6134163,4522
APPROXIMATELY 60K NORTH OF ALBURY CORNER RICHMOND STREET &,MORVEN SCAX,MORV,,,,,CULCAIRN,ST,MORVEN,NSW,2660,147,7,17,E,35,39,23,S,55,510976,6054159,2421
,MOSMAN EXCHANGE,MOSM,846,,,,MILITARY,RD,MOSMAN,NSW,2088,151,14,35,E,33,49,32,S,56,337414,6255807,2813
CORNER HAWKINS ST &,MOSS VALE EXCHANGE,MSVE,,,,,ARGYLE,RD,MOSS VALE,NSW,2577,150,22,34,E,34,32,44,S,56,259226,6174232,2829
50K SOUTH IVANHOE ON,MOSSGIEL SCAX & RT,BAMB,,,,,COBB,HWY,MOSSGIEL,NSW,2878,144,34,12,E,33,15,27,S,55,273637,6317522,3965
,MOSSY POINT  EXCHANGE,MOSP,204,,,,CONNELLS,CL,MOSSY POINT,NSW,2537,150,10,27,E,35,50,1,S,56,244758,6030835,2423
,MOULAMEIN EXCHANGE,MLMN,,,,,TALLOW,ST,MOULAMEIN,NSW,2733,144,2,7,E,35,5,19,S,55,229705,6113122,11136
40K STH OF BATHURST,MOUNT DAVID EXCHANGE,MTDV,38,39,,,ROBSON,RD,MOUNT DAVID,NSW,2795,149,35,42,E,33,49,18,S,55,740183,6254596,4560
,MOUNT DRYSDALE SCAX,CBAR,,,,,COBAR-BOURKE,RD,COBAR,NSW,2835,145,54,31,E,31,12,4,S,55,396035,6547603,6510
,MOUNT GEORGE SCAX,MTGF,,,,,MAIN,RD,MOUNT GEORGE,NSW,2424,152,12,58,E,31,51,1,S,56,425838,6475903,3970
,MOUNT GWYNNE (NSW) EXCHANGE,MTGW,108,,,,MULWALA,RD,MULWALA,NSW,2647,145,55,9,E,35,56,26,S,55,402503,6022090,7193
,MOUNT HUTTON EXCHANGE,MTHN,46,,,,WILSONS,RD,MOUNT HUTTON,NSW,2290,151,38,46,E,32,58,20,S,56,373484,6350989,2824
,MOUNT KNOWLES SCAX,MTKS,,,,,MAIN,RD,MUDGEE,NSW,2850,149,45,54,E,32,35,39,S,55,759521,6390336,5734
,MOUNT KURING-GAI EXCHANGE,MTKU,759,,,,PACIFIC,HWY,MOUNT KURING-GAI,NSW,2080,151,7,59,E,33,39,28,S,56,326898,6274236,2826
IVANHOE TO WILCANNIA,MOUNT MANARA SCAX,BAMB,,,,,COBB,HWY,MANARA,NSW,2878,143,56,46,E,32,27,54,S,54,776926,6404189,4561
,MOUNT OLIVE SCAX,MTOL,,,,,BRIDGEMAN,RD,MOUNT OLIVE,NSW,2330,151,11,27,E,32,26,0,S,56,329914,6410100,4562
APPROXIMATELY 8 K SOUTHWEST OF SINGLETON ON,MOUNT THORLEY SCAX,MTTY,,,,,PUTTY,RD,MOUNT THORLEY,NSW,2330,151,6,36,E,32,37,1,S,56,322674,6389610,3814
,MOUNT VICTORIA EXCHANGE NSW,MVIC,6,8,,,JERSEY,PDE,MOUNT VICTORIA,NSW,2786,150,15,11,E,33,35,14,S,56,245072,6280237,2436
,MOUNT WHITE SCAX,MWTE,,,,,ASHBROOKES,ST,MOUNT WHITE,NSW,2250,151,11,54,E,33,29,52,S,56,332636,6292065,2478
,MOUNT WILSON SCAX/RTRS,MTWN,2,,,,QUEENS,AVE,MOUNT WILSON,NSW,2786,150,21,58,E,33,30,47,S,56,255358,6288736,10314
,MOUNTAIN CREEK SCAX,MCRK,,,,,ALBERT-HOLBROOK,RD,MOUNTAIN CREEK,NSW,2644,147,9,9,E,35,45,34,S,55,513774,6042725,2429
,MUDGEE EXCHANGE,MUDG,80,,,,MARKET,ST,MUDGEE,NSW,2850,149,35,10,E,32,35,27,S,55,742735,6391128,2837
,MULBRING EXCHANGE,MBRG,,,,,MOUNT VINCENT,RD,MOUNT VINCENT,NSW,2323,151,29,6,E,32,54,18,S,56,358320,6358237,2481
NEAR ALLAN RD,MULGOA EXCHANGE,MGOA,25,,,,THE STRAIGHT,RD,MULGOA,NSW,2745,150,39,0,E,33,50,23,S,56,282557,6253140,2483
CORNER CLARKE ST &,MULLALEY SCAX,MULY,,,,,WONDOBA,ST,MULLALEY,NSW,2379,149,54,39,E,31,5,54,S,55,777662,6555864,2419
,MULLAMUDDY SCAX,MDDY,,,,,MUDGEE-WALLERAWANG,RD,MULLAMUDDY,NSW,2850,149,38,24,E,32,38,26,S,55,747658,6385489,2420
,MULLENGANDRA SCAX,MLEN,,,,,HUME,HWY,MULLENGANDRA,NSW,2644,147,9,51,E,35,53,53,S,55,514803,6027350,2422
,MULLUMBIMBY EXCHANGE,MULL,93,,,,DALLEY,ST,MULLUMBIMBY,NSW,2482,153,29,56,E,28,33,13,S,56,548796,6841381,2852
,MULYANDRY SCAX,MLRY,,,,,FORBES-GRENFELL,RD,MULYANDRY,NSW,2871,148,8,5,E,33,32,2,S,55,605371,6288953,2424
,MUMBIL EXCHANGE,MBIL,,,,,TARA,RD,MUMBIL,NSW,2820,149,3,45,E,32,41,51,S,55,693343,6380366,
,MUMMULGUM SCAX,MUGM,,,,,BRUXNER,HWY,MUMMULGUM,NSW,2469,152,48,0,E,28,50,57,S,56,480490,6808722,4565
,MUNDARLO SCAX,MDLO,,,,,HUME,HWY,MUNDARLO,NSW,2729,147,51,0,E,35,10,47,S,55,577408,6106700,4533
,MUNDAWADRA SCAX,CULC,,,,,PLEASANT HILLS,RD,MUNDAWADRA,NSW,2658,146,55,28,E,35,27,21,S,55,493132,6076406,10306
,MUNDINE SCAX,MDNE,,,,,BOOMI,HWY,MUNDINE,NSW,2409,150,5,19,E,28,39,5,S,56,215418,6827178,1400
,MUNGINDI EXCHANGE,MGDI,,,,,WALKER,ST,MUNGINDI,NSW,2406,148,59,38,E,28,58,42,S,55,694271,6792787,2426
,MURGA SCAX,MRGA,,,,,ORANGE-EUGOWRA,RD,MURGA,NSW,2864,148,32,43,E,33,22,17,S,55,643762,6306480,12634
,MURRAMI EXCHANGE,MRMI,,,,,LEETON,RD,MURRAMI,NSW,2705,146,15,39,E,34,23,6,S,55,432061,6194911,2427
,MURRELL CREEK SCAX,MURK,,,,,COOLAMON-ARIAH PARK,RD,METHUL,NSW,2701,146,56,35,E,34,28,48,S,55,494783,6184624,2409
,MURRINGO SCAX,MUGO,,,,,BOOROWA,ST,MURRINGO,NSW,2586,148,31,8,E,34,18,25,S,55,639777,6202772,2428
,MURWILLUMBAH EXCHANGE,MBAH,118,124,,,MAIN,ST,MURWILLUMBAH,NSW,2484,153,23,36,E,28,19,36,S,56,538552,6866538,5040
CNR WILLIAM LANE &,MUSWELLBROOK EXCHANGE,MUSL,,,,,HUNTERS,TCE,MUSWELLBROOK,NSW,2333,150,55,37,E,32,15,46,S,56,304734,6428560,2855
,MYALL CREEK/BOONDA SCAX,MCEK,,,,,BINGARRA-DELUNGREA,RD,BOONDA,NSW,2403,150,45,32,E,29,44,36,S,56,283268,6707562,4253
,MYALL PARK SCAX,MYPK,,,,,MYALL PARK,RD,MYALL PARK,NSW,2681,146,8,36,E,34,10,12,S,55,421033,6218667,3978
,MYALL VALE SCAX,MLVE,,,,,WEE WAA - NARRABRI,RD,MYALL VALE,NSW,2388,149,36,0,E,30,12,20,S,55,750294,6655588,3979
,MYAMLEY SCAX,MYLY,,,,,BOBADAH,RD,TOTTENHAM,NSW,2873,146,59,53,E,32,15,55,S,55,499826,6430165,3980
MAIN CAMP TEA TREE FARM,MYRTLE CREEK EXCHANGE,MTCK,,,,,MAIN CAMP,RD,MYRTLE CREEK,NSW,2469,153,3,36,E,29,8,3,S,56,505834,6777161,4535
,MYRTLE PARK SCAX,MYLP,,,,,DENILIQUIN-COREE,RD,MYRTLE PARK,NSW,2713,145,28,24,E,35,34,0,S,55,361641,6063042,2431
,NABIAC SCAX,NABI,,,,,BULAHDELAH-TAREE,RD,NABIAC,NSW,2312,152,22,48,E,32,5,56,S,56,441502,6448446,4538
,NAMBUCCA HEADS EXCHANGE,NAMH,,,LOT,41,CREEK,ST,NAMBUCCA HEADS,NSW,2448,152,58,55,E,30,39,14,S,56,498270,6608767,2846
,NAMBUCCA HEADS TE,NAMH,,,,,CREEK,ST,NAMBUCCA HEADS,NSW,2448,152,58,55,E,30,39,14,S,56,498270,6608767,2846
,NANA GLEN SCAX,NAGN,20,,,,ORARA,ST,NANA GLEN,NSW,2450,153,0,50,E,30,7,53,S,56,501337,6666668,2435
,NANGUS SCAX,NGUS,,,,,KIMO,ST,NANGUS,NSW,2722,147,53,59,E,35,3,14,S,55,582061,6120615,2437
